Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Complete,Account Management Activity,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,42,,,,,,Start,
4,Decision,Flowchart Shapes/Containers,2,,42,,,,,,Display login window with username/email and password inputs.,
5,Decision,Flowchart Shapes/Containers,2,,42,,,,,,User inputs login information,
6,Process,Flowchart Shapes/Containers,2,,42,,,,,,"Sign in user and display account details: balance, products, recent orders.",
7,Process,Flowchart Shapes/Containers,2,,42,,,,,,"Notify user with popup, deny access.",
8,Decision,Flowchart Shapes/Containers,2,,42,,,,,,User clicks create account button,
9,Process,Flowchart Shapes/Containers,2,,42,,,,,,"Display account creation form, obtain credentials.",
10,Decision,Flowchart Shapes/Containers,2,,42,,,,,,Administrator approval,
11,Process,Flowchart Shapes/Containers,2,,42,,,,,,"Create new account, notify user.",
12,Process,Flowchart Shapes/Containers,2,,42,,,,,,"Notify user, deny access.",
13,Decision,Flowchart Shapes/Containers,2,,42,,,,,,Duplicate credentials,
14,Process,Flowchart Shapes/Containers,2,,42,,,,,,"Notify user with popup, deny access.",
15,Decision,Flowchart Shapes/Containers,2,,42,,,,,,User category: Seller?,
16,Process,Flowchart Shapes/Containers,2,,42,,,,,,"Allow seller to add, sell, and receive payment for products.",
17,Process,Flowchart Shapes/Containers,2,,42,,,,,,User clicks sign out button,
18,Process,Flowchart Shapes/Containers,2,,42,,,,,,Sign out of user account.,
19,Terminator,Flowchart Shapes/Containers,2,,42,,,,,,End,
20,Line,,2,,42,3,4,None,Arrow,,,
21,Line,,2,,42,4,5,None,Arrow,,,
22,Line,,2,,42,5,6,None,Arrow,,Valid credentials,
23,Line,,2,,42,5,7,None,Arrow,,Invalid credentials,
24,Line,,2,,42,4,8,None,Arrow,,,
25,Line,,2,,42,8,9,None,Arrow,,,
26,Line,,2,,42,9,10,None,Arrow,,,
27,Line,,2,,42,10,11,None,Arrow,,Approve,
28,Line,,2,,42,10,12,None,Arrow,,Deny,
29,Line,,2,,42,8,13,None,Arrow,,,
30,Line,,2,,42,13,14,None,Arrow,,Yes,
31,Line,,2,,42,13,9,None,Arrow,,No,
32,Line,,2,,42,6,15,None,Arrow,,,
33,Line,,2,,42,15,16,None,Arrow,,Yes,
34,Line,,2,,42,15,17,None,Arrow,,No,
35,Line,,2,,42,16,17,None,Arrow,,,
36,Line,,2,,42,17,18,None,Arrow,,,
37,Line,,2,,42,18,19,None,Arrow,,,
38,Line,,2,,42,7,3,None,Arrow,,,
39,Line,,2,,42,11,3,None,Arrow,,,
40,Line,,2,,42,12,3,None,Arrow,,,
41,Line,,2,,42,14,3,None,Arrow,,,
42,Group 1,,2,,,,,,,,,
