Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Comments
1,Document,,,,,,,,,Complete,Account Management Sequence,,,
2,Page,,,,,,,,,,Page 1,,,
3,Object,UML,2,,34,,,,,,User,,,
4,Object,UML,2,,34,,,,,,User,,,
5,Object,UML,2,,34,,,,,,Admin,,,
6,Object,UML,2,,34,,,,,,Admin,,,
7,Object,UML,2,,34,,,,,,Seller,,,
8,Object,UML,2,,34,,,,,,Seller,,,
9,Object,UML,2,,34,,,,,,System,,,
10,Object,UML,2,,34,,,,,,System,,,
11,Alternative,UML,2,,34,,,,,,Alternative,[Valid credentials],[Invalid credentials],
12,Alternative,UML,2,,34,,,,,,Alternative,[Duplicate credentials],[Unique credentials],
13,Line,,2,,34,3,4,None,None,,,,,
14,Line,,2,,34,5,6,None,None,,,,,
15,Line,,2,,34,7,8,None,None,,,,,
16,Line,,2,,34,9,10,None,None,,,,,
17,Line,,2,,34,13,16,None,Arrow,,Input login information,,,
18,Line,,2,,34,16,13,None,Arrow,,Sign in successful,,,
19,Line,,2,,34,13,16,None,Arrow,,View account details,,,
20,Line,,2,,34,16,13,None,Arrow,,"Display account balance, products, recent orders",,,
21,Line,,2,,34,16,13,None,Arrow,,"Notify with popup, deny access",,,
22,Line,,2,,34,13,16,None,Arrow,,Click create account button,,,
23,Line,,2,,34,16,13,None,Arrow,,Display required info,,,
24,Line,,2,,34,13,16,None,Arrow,,Submit credentials,,,
25,Line,,2,,34,16,13,None,Arrow,,"Notify with popup, deny access",,,
26,Line,,2,,34,16,14,None,Arrow,,Request account approval,,,
27,Line,,2,,34,14,16,None,Arrow,,Approve/Deny account,,,
28,Line,,2,,34,16,13,None,Arrow,,Notify result,,,
29,Line,,2,,34,13,16,None,Arrow,,Click sign out,,,
30,Line,,2,,34,16,13,None,Arrow,,Sign out successful,,,
31,Line,,2,,34,15,16,None,Arrow,,Add products,,,
32,Line,,2,,34,15,16,None,Arrow,,Sell products,,,
33,Line,,2,,34,15,16,None,Arrow,,Receive payment,,,
34,Group 1,,2,,,,,,,,,,,
